fecha,municipio,pm10,pm25,o3,precipitacion,humedadrelativa,temperatura,dia_semana
2015-12-10 00:00:00,212,45,,,0,73.5,23.1,4
2015-12-10 00:00:00,266,,,,0,66.8,21.7,4
2015-12-10 00:00:00,308,59,25.8,42.0737625,0,73.5,23.1,4
2015-12-10 00:00:00,360,59.1372052347304,30.5979359139017,112.868825,0,66.8,21.7,4
2015-12-10 00:00:00,380,58.8755310850751,55.5,,0,66.8,21.7,4
2015-12-10 00:00:00,631,53,,,0,66.8,21.7,4
2015-12-09 00:00:00,1,78.8621663767001,36.6761906233512,71.315261858522,0,55,24.9,3
2015-12-09 00:00:00,79,23.67,,33.5550428571429,0,77.9,22.1,3
2015-12-09 00:00:00,88,48.30809291955,,55.5737875,0,77.9,22.1,3
2015-12-09 00:00:00,129,64.4398088858666,32.8,89.7541,0,70.2,20.7,3
2015-12-09 00:00:00,212,54,,,0,77.9,22.1,3
2015-12-09 00:00:00,266,,,,0,70.2,20.7,3
2015-12-09 00:00:00,308,55,28.8,42.9508166666667,0,77.9,22.1,3
2015-12-09 00:00:00,360,72.0383375157395,36.7384868857177,103.5245875,0,70.2,20.7,3
2015-12-09 00:00:00,380,58.0539173881507,73.3,,0,70.2,20.7,3
2015-12-09 00:00:00,631,54,,,0,70.2,20.7,3
2015-12-08 00:00:00,1,62.057383782157,30.5188430420869,56.2791097499408,0,55,25,2
2015-12-08 00:00:00,88,39.6448292506468,,54.590175,0,79.2,22.2,2
2015-12-08 00:00:00,129,55.8586420503597,27.7,75.9836,0,69.1,21,2
2015-12-08 00:00:00,212,63,,,0,79.2,22.2,2
2015-12-08 00:00:00,266,,,,0,69.1,21,2
2015-12-08 00:00:00,308,48,22.2,49.672125,0,79.2,22.2,2
2015-12-08 00:00:00,360,79.3151352498273,30.5809112079016,78.196725,0,69.1,21,2
2015-12-08 00:00:00,380,56.8154122840626,48.9,,0,69.1,21,2
2015-12-08 00:00:00,631,56,,,0,69.1,21,2
2015-12-07 00:00:00,1,80.8269957676019,34.8023645387882,58.0231010215519,0.1,63,23.9,1
2015-12-07 00:00:00,79,25,,52.2049125,0,76.6,22.5,1
2015-12-07 00:00:00,88,39.5695767651893,,55.5737875,0,76.6,22.5,1
